 2    236    512  118  256
 3   1573   2874  524  958
 4   1924   3754  481  939
 5   4653   7510  931 1502
 6   5490   9018  915 1503
 7   6929  12729  990 1818
 8   7681  14843  960 1855
 12 11483  25458  957 2121
 16 14491  36278  906 2267
 20 20343  52947 1017 2647
 24 24854  71918 1036 2997
 28 29682  86323 1060 3083
 32 33643 105017 1051 3282
 36 36889 116815 1025 3245
 40 44441 142948 1111 3574
 44 46469 147975 1056 3363
 48 51752 169440 1078 3530
 52 56066 185018 1078 3558
 56 63882 227542 1141 4063
 60 65157 247408 1086 4123
 64 74788 261223 1169 4082
