 2              237      510             118      255
 3             1697     2714             566      905
 4             1951     3775             488      943
 5             4570     7066             914     1413
 6             5348     8828             891     1471
 7             7046    12368            1007     1767
 8             7491    14506             937     1812
 12           10885    25206             907     2100
 16           14660    38343             917     2395
 20           20491    48859            1025     2443
 24           25282    62228            1053     2593
 28           28676    86366            1024     3085
 32           34247    99778            1069     3117
 36           37015   124628            1028     3462
 40           41936   125805            1048     3145
 44           49116   154640            1116     3515
 48           54384   172660            1133     3597
 52           59272   193035            1140     3712
 56           63934   238020            1142     4250
 60           65376   252661            1090     4211
 64           70364   274597            1100     4290
